2023-07-03 00:00,1.091270,1.091270,1.091250,1.091260,10
2023-07-03 00:01,1.091270,1.091300,1.091250,1.091250,10
2023-07-03 00:02,1.091260,1.091300,1.091250,1.091300,10
2023-07-03 00:03,1.091300,1.091400,1.091300,1.091390,10
2023-07-03 00:04,1.091400,1.091420,1.091370,1.091400,10
2023-07-03 00:05,1.091400,1.091400,1.091350,1.091360,10
2023-07-03 00:06,1.091350,1.091360,1.091270,1.091290,10
2023-07-03 00:07,1.091290,1.091300,1.091250,1.091290,10
2023-07-03 00:08,1.091300,1.091330,1.091300,1.091330,10
2023-07-03 00:09,1.091330,1.091330,1.091310,1.091330,10
2023-07-03 00:10,1.091360,1.091410,1.091340,1.091380,10
2023-07-03 00:11,1.091390,1.091410,1.091350,1.091350,10
2023-07-03 00:12,1.091350,1.091430,1.091340,1.091400,10
2023-07-03 00:13,1.091410,1.091440,1.091400,1.091430,10
2023-07-03 00:14,1.091430,1.091430,1.091390,1.091410,10
2023-07-03 00:15,1.091410,1.091430,1.091400,1.091420,10
2023-07-03 00:16,1.091420,1.091420,1.091390,1.091390,10
2023-07-03 00:17,1.091400,1.091410,1.091390,1.091390,10
2023-07-03 00:18,1.091390,1.091400,1.091370,1.091380,10
2023-07-03 00:19,1.091380,1.091400,1.091360,1.091390,10
2023-07-03 00:20,1.091390,1.091400,1.091360,1.091360,10
2023-07-03 00:21,1.091360,1.091360,1.091360,1.091360,10
2023-07-03 00:22,1.091360,1.091370,1.091290,1.091350,10
2023-07-03 00:23,1.091350,1.091450,1.091320,1.091450,10
2023-07-03 00:24,1.091450,1.091460,1.091420,1.091450,10
2023-07-03 00:25,1.091430,1.091520,1.091430,1.091520,10
2023-07-03 00:26,1.091540,1.091590,1.091540,1.091590,10
2023-07-03 00:27,1.091590,1.091600,1.091590,1.091600,10
2023-07-03 00:28,1.091600,1.091650,1.091600,1.091600,10
2023-07-03 00:29,1.091610,1.091610,1.091570,1.091570,10
2023-07-03 00:30,1.091560,1.091600,1.091560,1.091570,10
2023-07-03 00:31,1.091570,1.091570,1.091450,1.091480,10
2023-07-03 00:32,1.091490,1.091500,1.091480,1.091490,10
2023-07-03 00:33,1.091500,1.091530,1.091470,1.091490,10
2023-07-03 00:34,1.091480,1.091520,1.091440,1.091520,10
2023-07-03 00:35,1.091510,1.091540,1.091500,1.091530,10
2023-07-03 00:36,1.091540,1.091560,1.091440,1.091440,10
2023-07-03 00:37,1.091450,1.091450,1.091400,1.091430,10
2023-07-03 00:38,1.091420,1.091490,1.091390,1.091490,10
2023-07-03 00:39,1.091480,1.091490,1.091450,1.091490,10
2023-07-03 00:40,1.091490,1.091500,1.091490,1.091500,10
2023-07-03 00:41,1.091500,1.091500,1.091480,1.091490,10
2023-07-03 00:42,1.091500,1.091500,1.091450,1.091450,10
2023-07-03 00:43,1.091440,1.091490,1.091400,1.091490,10
2023-07-03 00:44,1.091490,1.091500,1.091440,1.091460,10
2023-07-03 00:45,1.091470,1.091510,1.091460,1.091460,10
2023-07-03 00:46,1.091460,1.091510,1.091460,1.091510,10
2023-07-03 00:47,1.091510,1.091560,1.091490,1.091540,10
2023-07-03 00:48,1.091550,1.091560,1.091520,1.091550,10
2023-07-03 00:49,1.091560,1.091560,1.091510,1.091510,10
2023-07-03 00:50,1.091510,1.091510,1.091430,1.091450,10
2023-07-03 00:51,1.091450,1.091460,1.091420,1.091450,10
2023-07-03 00:52,1.091460,1.091500,1.091460,1.091490,10
2023-07-03 00:53,1.091490,1.091510,1.091490,1.091510,10
2023-07-03 00:54,1.091510,1.091540,1.091490,1.091540,10
2023-07-03 00:55,1.091550,1.091650,1.091540,1.091650,10
2023-07-03 00:56,1.091660,1.091800,1.091660,1.091770,10
2023-07-03 00:57,1.091780,1.091810,1.091750,1.091760,10
2023-07-03 00:58,1.091760,1.091760,1.091680,1.091700,10
2023-07-03 00:59,1.091700,1.091760,1.091680,1.091750,10
2023-07-03 01:00,1.091740,1.091740,1.091560,1.091590,10
2023-07-03 01:01,1.091610,1.091650,1.091600,1.091650,10
2023-07-03 01:02,1.091650,1.091660,1.091590,1.091600,10
2023-07-03 01:03,1.091600,1.091660,1.091590,1.091600,10
2023-07-03 01:04,1.091600,1.091600,1.091540,1.091540,10
2023-07-03 01:05,1.091550,1.091610,1.091540,1.091610,10
2023-07-03 01:06,1.091610,1.091680,1.091600,1.091600,10
2023-07-03 01:07,1.091600,1.091630,1.091540,1.091540,10
2023-07-03 01:08,1.091540,1.091680,1.091530,1.091680,10
2023-07-03 01:09,1.091690,1.091690,1.091640,1.091640,10
2023-07-03 01:10,1.091640,1.091670,1.091630,1.091660,10
2023-07-03 01:11,1.091650,1.091680,1.091630,1.091630,10
2023-07-03 01:12,1.091640,1.091640,1.091570,1.091580,10
2023-07-03 01:13,1.091580,1.091630,1.091580,1.091590,10
2023-07-03 01:14,1.091600,1.091630,1.091580,1.091610,10
2023-07-03 01:15,1.091610,1.091620,1.091530,1.091540,10
2023-07-03 01:16,1.091550,1.091600,1.091540,1.091580,10
2023-07-03 01:17,1.091590,1.091700,1.091580,1.091670,10
2023-07-03 01:18,1.091650,1.091670,1.091620,1.091620,10
2023-07-03 01:19,1.091620,1.091640,1.091580,1.091590,10
2023-07-03 01:20,1.091580,1.091600,1.091500,1.091530,10
2023-07-03 01:21,1.091520,1.091540,1.091480,1.091540,10
2023-07-03 01:22,1.091530,1.091550,1.091450,1.091480,10
2023-07-03 01:23,1.091510,1.091560,1.091480,1.091480,10
